Age,Income,Home_ownership,Employment_length,Loan_intent,internal_credit_rating,Loan_amount,Interest_rate,Loan_percent_income,Default,Credit_history_length,Loan_status
42.0,36000.0,Rent,8.0,Medical,C,13000.0,12.73,0.36,Y,16.0,True
43.0,41000.0,Mortgage,7.0,Medical,C,6000.0,13.22,0.15,Y,16.0,False
40.0,130000.0,Mortgage,0.0,Debtconsolidation,A,24250.0,6.17,0.19,N,16.0,False
40.0,100010.0,Mortgage,11.0,Personal,B,8000.0,9.99,0.08,N,17.0,False
37.0,220000.0,Rent,0.0,Education,B,30000.0,9.91,0.14,N,17.0,False
37.0,45996.0,Mortgage,11.0,Venture,B,6000.0,9.25,0.13,N,16.0,False
42.0,150000.0,Rent,19.0,Medical,C,18400.0,13.408000000000001,0.12,N,17.0,False
39.0,36000.0,Rent,3.0,Medical,A,5000.0,10.05,0.14,N,16.0,False
36.0,73000.0,Rent,3.0,Personal,B,4000.0,11.12,0.05,N,16.0,False
37.0,40000.0,Rent,0.0,Medical,B,12000.0,9.91,0.3,N,16.0,False
40.0,187000.0,Mortgage,0.0,Debtconsolidation,A,10000.0,7.9,0.05,N,17.0,False
45.0,36700.0,Own,7.0,Personal,A,2000.0,7.51,0.05,N,16.0,False
41.0,55000.0,Mortgage,17.0,Personal,A,9000.0,5.99,0.16,N,17.0,False
51.0,120000.0,Mortgage,2.0,Personal,A,30000.0,7.9,0.25,N,22.0,False
40.0,110000.0,Rent,6.0,Homeimprovement,B,13000.0,9.91,0.12,N,17.0,False
51.0,153000.0,Rent,2.0,Personal,D,25000.0,15.58,0.16,N,23.0,True
37.0,66150.0,Own,11.0,Personal,C,17000.0,12.73,0.26,N,17.0,False
39.0,100300.0,Rent,2.0,Medical,D,25000.0,15.7,0.21,Y,16.0,True
38.0,32560.0,Own,8.0,Personal,A,6000.0,8.94,0.18,N,16.0,False
36.0,99500.0,Own,5.0,Venture,A,4000.0,7.74,0.04,N,16.0,False
38.0,17108.0,Mortgage,7.0,Education,A,4375.0,7.51,0.26,N,17.0,True
45.0,110000.0,Mortgage,5.0,Personal,B,20000.0,11.11,0.18,N,16.0,False
58.0,49000.0,Mortgage,34.0,Medical,D,7500.0,13.55,0.15,Y,24.0,True
40.0,44000.0,Rent,9.0,Medical,A,6200.0,5.42,0.14,N,17.0,False
45.0,37500.0,Mortgage,1.0,Debtconsolidation,B,5000.0,11.49,0.13,N,16.0,False
38.0,65000.0,Rent,2.0,Medical,A,7000.0,7.88,0.11,N,17.0,False
37.0,62400.0,Mortgage,5.0,Venture,D,10000.0,14.61,0.16,Y,17.0,False
39.0,42000.0,Own,5.0,Personal,B,8000.0,10.38,0.19,N,17.0,False
57.0,62004.0,Mortgage,13.0,Personal,C,2000.0,13.72,0.03,Y,24.0,False
37.0,60000.0,Mortgage,17.0,Homeimprovement,A,6000.0,9.32,0.1,N,16.0,False
62.0,76500.0,Rent,0.0,Education,D,20000.0,16.77,0.26,Y,29.0,True
36.0,103000.0,Rent,0.0,Debtconsolidation,C,20000.0,13.79,0.19,Y,17.0,False
44.0,50000.0,Mortgage,8.0,Debtconsolidation,B,6000.0,11.99,0.12,N,17.0,False
47.0,30000.0,Own,1.0,Education,C,8000.0,13.634,0.27,N,17.0,False
39.0,60000.0,Rent,4.0,Debtconsolidation,A,4300.0,7.49,0.07,N,17.0,False
41.0,109920.0,Mortgage,18.0,Debtconsolidation,C,20000.0,13.35,0.18,Y,17.0,False
58.0,780000.0,Mortgage,7.0,Personal,A,4500.0,6.91,0.01,N,19.0,False
53.0,80000.0,Own,8.0,Personal,A,15000.0,6.62,0.19,N,24.0,False
38.0,78000.0,Mortgage,8.0,Venture,A,6250.0,6.76,0.08,N,16.0,False
57.0,77385.0,Rent,4.0,Personal,A,6625.0,7.66,0.09,N,27.0,False
47.0,165000.0,Mortgage,2.0,Homeimprovement,D,19800.0,15.65,0.12,N,16.0,False
38.0,81000.0,Rent,7.0,Debtconsolidation,B,18000.0,10.59,0.22,N,16.0,False
41.0,85000.0,Rent,5.0,Personal,C,3000.0,13.49,0.04,N,17.0,False
42.0,60000.0,Mortgage,4.0,Homeimprovement,B,8850.0,10.37,0.15,N,16.0,False
47.0,1362000.0,Mortgage,9.0,Venture,A,6600.0,7.74,0.0,N,17.0,False
42.0,108000.0,Mortgage,14.0,Venture,D,14400.0,13.67,0.13,Y,16.0,True
37.0,120000.0,Mortgage,5.0,Personal,A,5400.0,5.99,0.04,N,17.0,False
56.0,32400.0,Rent,4.0,Medical,A,8575.0,7.51,0.26,N,18.0,False
42.0,105000.0,Mortgage,18.0,Education,C,2400.0,13.06,0.02,Y,17.0,False
38.0,84000.0,Mortgage,5.0,Venture,B,15000.0,9.63,0.18,N,16.0,False
69.0,24000.0,Rent,3.0,Medical,A,6000.0,6.62,0.25,N,23.0,False
38.0,78000.0,Mortgage,6.0,Homeimprovement,C,15000.0,15.27,0.19,N,17.0,True
43.0,125000.0,Rent,4.0,Education,A,3250.0,7.49,0.03,N,16.0,False
36.0,33600.0,Own,4.0,Venture,E,15000.0,18.39,0.45,N,16.0,False
36.0,58000.0,Rent,18.0,Venture,A,5000.0,6.62,0.09,N,16.0,False
52.0,116000.0,Mortgage,6.0,Personal,B,12800.0,9.99,0.11,N,23.0,False
38.0,34000.0,Rent,4.0,Medical,B,5750.0,12.974,0.17,N,16.0,False
36.0,84996.0,Mortgage,11.0,Personal,B,3500.0,12.69,0.04,N,16.0,False
42.0,31000.0,Mortgage,5.0,Debtconsolidation,B,7200.0,11.99,0.23,N,16.0,False
52.0,36000.0,Rent,8.0,Debtconsolidation,B,11200.0,12.18,0.31,N,29.0,True
60.0,72000.0,Own,3.0,Personal,B,10000.0,10.59,0.14,N,24.0,False
40.0,29000.0,Rent,3.0,Personal,A,10500.0,7.51,0.36,N,16.0,True
37.0,31200.0,Mortgage,5.0,Education,B,3000.0,9.99,0.1,N,16.0,False
41.0,54500.0,Mortgage,0.0,Education,A,7700.0,6.91,0.14,N,17.0,False
36.0,261800.0,Mortgage,16.0,Medical,B,24000.0,10.62,0.08,N,16.0,True
55.0,48000.0,Rent,1.0,Education,B,5500.0,10.62,0.11,N,22.0,True
51.0,260000.0,Mortgage,1.0,Personal,A,14000.0,7.66,0.05,N,26.0,False
44.0,36000.0,Mortgage,6.0,Education,A,1000.0,7.51,0.03,N,17.0,False
48.0,40000.0,Rent,3.0,Medical,A,10000.0,10.454,0.25,N,17.0,False
39.0,44000.0,Mortgage,2.0,Medical,B,8000.0,9.63,0.18,N,17.0,False
38.0,40000.0,Mortgage,5.0,Medical,A,10000.0,5.99,0.25,N,17.0,False
37.0,100000.0,Rent,0.0,Debtconsolidation,B,2400.0,9.99,0.02,N,16.0,False
53.0,75000.0,Mortgage,4.0,Personal,A,10000.0,8.94,0.13,N,19.0,False
43.0,39000.0,Mortgage,12.0,Venture,B,8000.0,9.99,0.21,N,16.0,False
36.0,135000.0,Mortgage,1.0,Venture,D,2500.0,14.91,0.02,N,17.0,False
41.0,76000.0,Mortgage,17.0,Homeimprovement,A,4800.0,5.42,0.06,N,16.0,False
56.0,150000.0,Mortgage,5.0,Personal,B,15000.0,11.48,0.1,N,28.0,False
36.0,110000.0,Mortgage,3.0,Medical,A,9000.0,8.456,0.08,N,16.0,False
61.0,78000.0,Mortgage,1.0,Personal,D,8525.0,14.54,0.11,Y,27.0,True
37.0,85000.0,Mortgage,19.0,Homeimprovement,B,10000.0,9.99,0.12,N,16.0,False
53.0,105000.0,Rent,1.0,Education,A,12000.0,6.91,0.11,N,23.0,False
42.0,37000.0,Rent,0.0,Education,C,15200.0,14.26,0.41,Y,16.0,True
47.0,187000.0,Mortgage,5.0,Homeimprovement,A,14000.0,8.9,0.07,N,16.0,False
44.0,99996.0,Mortgage,4.0,Venture,C,14400.0,12.23,0.14,Y,16.0,False
52.0,90750.0,Rent,7.0,Medical,C,4500.0,14.72,0.05,N,28.0,False
