Age,Income,Home_ownership,Employment_length,Loan_intent,internal_credit_rating,Loan_amount,Interest_rate,Loan_percent_income,Default,Credit_history_length,Loan_status
23,75800,Rent,0.0,Personal,A,7000,6.54,0.09,N,2,0
25,61959,Rent,9.0,Education,C,25000,12.73,0.4,Y,4,1
31,53088,Rent,0.0,Personal,A,6000,6.54,0.11,N,9,0
27,228000,Mortgage,12.0,Homeimprovement,A,6000,7.14,0.03,N,6,0
29,54000,Rent,0.0,Personal,D,10000,14.96,0.19,N,9,1
25,90000,Mortgage,4.0,Personal,B,3000,11.49,0.03,N,4,0
21,54036,Mortgage,3.0,Medical,B,8000,11.36,0.15,N,2,0
22,150000,Mortgage,6.0,Personal,D,18000,15.2,0.12,N,4,0
24,112500,Rent,1.0,Personal,C,16000,12.29,0.14,N,3,0
22,50000,Rent,3.0,Medical,C,13000,12.23,0.26,N,3,0
23,103000,Rent,4.0,Debtconsolidation,C,16800,13.11,0.16,N,4,0
22,54000,Rent,2.0,Medical,A,3000,,0.06,N,4,0
28,44104,Rent,4.0,Venture,B,15000,,0.34,N,10,1
25,154000,Mortgage,1.0,Education,B,21600,10.37,0.14,N,3,0
26,52000,Rent,5.0,Personal,B,5000,10.59,0.1,N,3,0
28,66725,Rent,3.0,Medical,D,9000,16.29,0.11,Y,9,1
25,75000,Mortgage,3.0,Personal,A,6000,6.92,0.08,N,2,0
24,37920,Rent,4.0,Debtconsolidation,A,6000,6.99,0.16,N,3,0
22,40000,Mortgage,7.0,Personal,A,10850,7.66,0.27,N,4,0
29,33600,Mortgage,3.0,Medical,B,12000,11.83,0.36,N,6,0
21,61000,Rent,3.0,Education,B,7500,10.39,0.12,N,2,0
22,53004,Mortgage,6.0,Education,C,1500,13.79,0.03,N,2,0
22,37200,Rent,6.0,Personal,B,10000,,0.27,N,2,1
23,110000,Rent,6.0,Education,C,3000,14.22,0.03,N,3,0
28,30000,Rent,4.0,Medical,A,8000,,0.27,N,8,0
21,56532,Mortgage,,Education,A,16000,7.88,0.28,N,3,0
40,125000,Mortgage,3.0,Personal,A,10200,7.49,0.08,N,13,0
29,30000,Mortgage,2.0,Debtconsolidation,B,1600,10.25,0.05,N,9,0
25,150000,Mortgage,9.0,Debtconsolidation,A,12000,,0.08,N,4,0
35,36000,Own,1.0,Venture,B,3925,9.99,0.11,N,5,0
24,69000,Rent,2.0,Homeimprovement,A,27600,,0.4,N,2,1
24,52000,Own,8.0,Personal,A,5000,7.4,0.1,N,2,0
42,36000,Rent,8.0,Medical,C,13000,12.73,0.36,Y,16,1
23,24000,Rent,0.0,Venture,A,9250,6.54,0.39,N,3,1
23,52000,Own,7.0,Education,A,6000,,0.12,N,3,0
27,102000,Rent,2.0,Homeimprovement,A,10150,,0.1,N,6,0
27,100000,Mortgage,0.0,Personal,A,6575,5.79,0.07,N,6,0
22,20640,Rent,0.0,Education,C,2500,12.68,0.12,N,3,0
23,66661,Mortgage,7.0,Personal,B,1500,11.49,0.02,N,2,0
39,73882,Rent,17.0,Medical,B,7000,9.91,0.09,N,13,0
31,72000,Rent,15.0,Education,B,4000,9.99,0.06,N,5,0
25,19200,Rent,0.0,Homeimprovement,B,5000,9.62,0.26,N,2,1
27,50000,Rent,5.0,Medical,C,8000,13.43,0.16,N,10,0
24,172000,Mortgage,6.0,Debtconsolidation,C,20000,13.47,0.12,Y,4,1
31,70000,Mortgage,9.0,Medical,A,18000,8.9,0.26,N,10,0
23,55000,Rent,0.0,Personal,B,5500,11.71,0.1,N,4,0
26,53000,Own,3.0,Venture,B,6000,9.99,0.11,N,2,0
24,33996,Rent,2.0,Homeimprovement,D,5000,14.96,0.15,N,2,1
22,130000,Mortgage,3.0,Debtconsolidation,C,14500,,0.11,N,2,0
50,58800,Mortgage,12.0,Debtconsolidation,E,22000,17.74,0.37,N,15,1
35,21600,Rent,0.0,Debtconsolidation,C,3000,14.35,0.14,N,9,0
24,30000,Rent,0.0,Education,D,9000,15.58,0.3,N,3,1
