Income,Home_ownership,Employment_length,Loan_intent,internal_credit_rating,Loan_amount,Interest_rate,Loan_percent_income,Default,Credit_history_length,Loan_status,is_eligible,age_employment_ratio,income_per_credit_year,credit_score,high_risk_flag,age_group
75800.0,Rent,0.0,Personal,A,7000.0,6.54,0.09,N,2.0,False,True,0.0,37900.0,752.7243782109929,0,18-25
61959.0,Rent,9.0,Education,C,25000.0,12.73,0.4,Y,4.0,True,True,0.36,15489.75,541.1329154782185,0,18-25
53088.0,Rent,0.0,Personal,A,6000.0,6.54,0.11,N,9.0,False,True,0.0,5898.666666666667,705.4771370948724,0,26-35
225000.0,Mortgage,12.0,Homeimprovement,A,6000.0,7.14,0.03,N,6.0,False,True,0.4444444444444444,37500.0,827.2956246902471,0,26-35
54000.0,Rent,0.0,Personal,D,10000.0,14.96,0.19,N,9.0,True,True,0.0,6000.0,468.03278151685566,0,26-35
90000.0,Mortgage,4.0,Personal,B,3000.0,11.49,0.03,N,4.0,False,True,0.16,22500.0,803.1319293467341,0,18-25
54036.0,Mortgage,3.0,Medical,B,8000.0,11.36,0.15,N,2.0,False,True,0.1428571428571428,27018.0,712.3193419246426,0,18-25
150000.0,Mortgage,6.0,Personal,D,18000.0,15.2,0.12,N,4.0,False,True,0.2727272727272727,37500.0,620.6298973448044,0,18-25
112500.0,Rent,1.0,Personal,C,16000.0,12.29,0.14,N,3.0,False,True,0.0416666666666666,37500.0,659.5119778603482,0,18-25
50000.0,Rent,3.0,Medical,C,13000.0,12.23,0.26,N,3.0,False,True,0.1363636363636363,16666.666666666668,458.6168306679769,0,18-25
103000.0,Rent,4.0,Debtconsolidation,C,16800.0,13.11,0.16,N,4.0,False,True,0.1739130434782608,25750.0,610.7286176820362,0,18-25
54000.0,Rent,2.0,Medical,A,3000.0,9.736,0.06,N,4.0,False,True,0.0909090909090909,13500.0,676.3453925602774,0,18-25
44104.0,Rent,4.0,Venture,B,15000.0,11.812,0.34,N,10.0,True,True,0.1428571428571428,4410.4,564.9401050174012,0,26-35
154000.0,Mortgage,1.0,Education,B,21600.0,10.37,0.14,N,3.0,False,True,0.04,51333.333333333336,773.5261719925288,0,18-25
52000.0,Rent,5.0,Personal,B,5000.0,10.59,0.1,N,3.0,False,True,0.1923076923076923,17333.333333333332,690.2254275769907,0,26-35
66725.0,Rent,3.0,Medical,D,9000.0,16.29,0.13,Y,9.0,True,True,0.1071428571428571,7413.888888888889,464.5699627343317,0,26-35
75000.0,Mortgage,3.0,Personal,A,6000.0,6.92,0.08,N,2.0,False,True,0.12,37500.0,829.3069371047575,0,18-25
37920.0,Rent,4.0,Debtconsolidation,A,6000.0,6.99,0.16,N,3.0,False,True,0.1666666666666666,12640.0,583.0633438808759,0,18-25
40000.0,Mortgage,7.0,Personal,A,10850.0,7.66,0.27,N,4.0,False,True,0.3181818181818182,10000.0,622.9048783202146,0,18-25
33600.0,Mortgage,3.0,Medical,B,12000.0,11.83,0.36,N,6.0,False,True,0.1034482758620689,5600.0,524.6282989918337,0,26-35
61000.0,Rent,3.0,Education,B,7500.0,10.39,0.12,N,2.0,False,True,0.1428571428571428,30500.0,690.3456379813672,0,18-25
53004.0,Mortgage,6.0,Education,C,1500.0,13.79,0.03,N,2.0,False,True,0.2727272727272727,26502.0,748.7615700176057,0,18-25
37200.0,Rent,6.0,Personal,B,10000.0,7.264,0.27,N,2.0,True,True,0.2727272727272727,18600.0,522.8760192016194,0,18-25
110000.0,Rent,6.0,Education,C,3000.0,14.22,0.03,N,3.0,False,True,0.2608695652173913,36666.66666666666,704.258688485349,0,18-25
