Age,Income,Home_ownership,Employment_length,Loan_intent,internal_credit_rating,Loan_amount,Interest_rate,Loan_percent_income,Default,Credit_history_length,Loan_status,is_eligible,age_employment_ratio,income_per_credit_year
23.0,75800.0,Rent,0.0,Personal,A,7000.0,6.54,0.09,N,2.0,False,True,0.0,37900.0
25.0,61959.0,Rent,9.0,Education,C,25000.0,12.73,0.4,Y,4.0,True,True,0.36,15489.75
31.0,53088.0,Rent,0.0,Personal,A,6000.0,6.54,0.11,N,9.0,False,True,0.0,5898.666666666667
27.0,225000.0,Mortgage,12.0,Homeimprovement,A,6000.0,7.14,0.03,N,6.0,False,True,0.4444444444444444,37500.0
29.0,54000.0,Rent,0.0,Personal,D,10000.0,14.96,0.19,N,9.0,True,True,0.0,6000.0
25.0,90000.0,Mortgage,4.0,Personal,B,3000.0,11.49,0.03,N,4.0,False,True,0.16,22500.0
21.0,54036.0,Mortgage,3.0,Medical,B,8000.0,11.36,0.15,N,2.0,False,True,0.14285714285714285,27018.0
22.0,150000.0,Mortgage,6.0,Personal,D,18000.0,15.2,0.12,N,4.0,False,True,0.2727272727272727,37500.0
24.0,112500.0,Rent,1.0,Personal,C,16000.0,12.29,0.14,N,3.0,False,True,0.041666666666666664,37500.0
22.0,50000.0,Rent,3.0,Medical,C,13000.0,12.23,0.26,N,3.0,False,True,0.13636363636363635,16666.666666666668
23.0,103000.0,Rent,4.0,Debtconsolidation,C,16800.0,13.11,0.16,N,4.0,False,True,0.17391304347826086,25750.0
22.0,54000.0,Rent,2.0,Medical,A,3000.0,9.736,0.06,N,4.0,False,True,0.09090909090909091,13500.0
28.0,44104.0,Rent,4.0,Venture,B,15000.0,11.812,0.34,N,10.0,True,True,0.14285714285714285,4410.4
25.0,154000.0,Mortgage,1.0,Education,B,21600.0,10.37,0.14,N,3.0,False,True,0.04,51333.333333333336
26.0,52000.0,Rent,5.0,Personal,B,5000.0,10.59,0.1,N,3.0,False,True,0.19230769230769232,17333.333333333332
28.0,66725.0,Rent,3.0,Medical,D,9000.0,16.29,0.13,Y,9.0,True,True,0.10714285714285714,7413.888888888889
25.0,75000.0,Mortgage,3.0,Personal,A,6000.0,6.92,0.08,N,2.0,False,True,0.12,37500.0
24.0,37920.0,Rent,4.0,Debtconsolidation,A,6000.0,6.99,0.16,N,3.0,False,True,0.16666666666666666,12640.0
22.0,40000.0,Mortgage,7.0,Personal,A,10850.0,7.66,0.27,N,4.0,False,True,0.3181818181818182,10000.0
29.0,33600.0,Mortgage,3.0,Medical,B,12000.0,11.83,0.36,N,6.0,False,True,0.10344827586206896,5600.0
21.0,61000.0,Rent,3.0,Education,B,7500.0,10.39,0.12,N,2.0,False,True,0.14285714285714285,30500.0
22.0,53004.0,Mortgage,6.0,Education,C,1500.0,13.79,0.03,N,2.0,False,True,0.2727272727272727,26502.0
22.0,37200.0,Rent,6.0,Personal,B,10000.0,7.264,0.27,N,2.0,True,True,0.2727272727272727,18600.0
23.0,110000.0,Rent,6.0,Education,C,3000.0,14.22,0.03,N,3.0,False,True,0.2608695652173913,36666.666666666664
28.0,30000.0,Rent,4.0,Medical,A,8000.0,12.22,0.27,N,8.0,False,True,0.14285714285714285,3750.0
21.0,56532.0,Mortgage,4.0,Education,A,16000.0,7.88,0.28,N,3.0,False,True,0.19047619047619047,18844.0
40.0,125000.0,Mortgage,3.0,Personal,A,10200.0,7.49,0.08,N,13.0,False,True,0.075,9615.384615384615
29.0,30000.0,Mortgage,2.0,Debtconsolidation,B,1600.0,10.25,0.05,N,9.0,False,True,0.06896551724137931,3333.3333333333335
25.0,150000.0,Mortgage,9.0,Debtconsolidation,A,12000.0,9.912,0.08,N,4.0,False,True,0.36,37500.0
35.0,36000.0,Own,1.0,Venture,B,3925.0,9.99,0.11,N,5.0,False,True,0.02857142857142857,7200.0
24.0,69000.0,Rent,2.0,Homeimprovement,A,27600.0,12.878,0.4,N,2.0,True,True,0.08333333333333333,34500.0
24.0,52000.0,Own,8.0,Personal,A,5000.0,7.4,0.1,N,2.0,False,True,0.3333333333333333,26000.0
42.0,36000.0,Rent,8.0,Medical,C,13000.0,12.73,0.36,Y,16.0,True,True,0.19047619047619047,2250.0
23.0,24000.0,Rent,0.0,Venture,A,9250.0,6.54,0.39,N,3.0,True,True,0.0,8000.0
23.0,52000.0,Own,7.0,Education,A,6000.0,10.82,0.12,N,3.0,False,True,0.30434782608695654,17333.333333333332
27.0,102000.0,Rent,2.0,Homeimprovement,A,10150.0,8.264000000000001,0.1,N,6.0,False,True,0.07407407407407407,17000.0
27.0,100000.0,Mortgage,0.0,Personal,A,6575.0,5.79,0.07,N,6.0,False,True,0.0,16666.666666666668
22.0,20640.0,Rent,0.0,Education,C,2500.0,12.68,0.12,N,3.0,False,True,0.0,6880.0
23.0,66661.0,Mortgage,7.0,Personal,B,1500.0,11.49,0.02,N,2.0,False,True,0.30434782608695654,33330.5
39.0,73882.0,Rent,17.0,Medical,B,7000.0,9.91,0.09,N,13.0,False,True,0.4358974358974359,5683.2307692307695
31.0,72000.0,Rent,15.0,Education,B,4000.0,9.99,0.06,N,5.0,False,True,0.4838709677419355,14400.0
25.0,19200.0,Rent,0.0,Homeimprovement,B,5000.0,9.62,0.26,N,2.0,True,True,0.0,9600.0
27.0,50000.0,Rent,5.0,Medical,C,8000.0,13.43,0.16,N,10.0,False,True,0.18518518518518517,5000.0
24.0,172000.0,Mortgage,6.0,Debtconsolidation,C,20000.0,13.47,0.12,Y,4.0,True,True,0.25,43000.0
31.0,70000.0,Mortgage,9.0,Medical,A,18000.0,8.9,0.26,N,10.0,False,True,0.2903225806451613,7000.0
23.0,55000.0,Rent,0.0,Personal,B,5500.0,11.71,0.1,N,4.0,False,True,0.0,13750.0
26.0,53000.0,Own,3.0,Venture,B,6000.0,9.99,0.11,N,2.0,False,True,0.11538461538461539,26500.0
24.0,33996.0,Rent,2.0,Homeimprovement,D,5000.0,14.96,0.15,N,2.0,True,True,0.08333333333333333,16998.0
