iter	Logloss
0	0.64868485
1	0.6115558221
2	0.5815898335
3	0.555680121
4	0.5345493221
5	0.5157690111
6	0.5009598296
7	0.4881363042
8	0.4696580444
9	0.4552146947
10	0.4421577147
11	0.4294143401
12	0.4201720617
13	0.4118621783
14	0.405405379
15	0.3986662422
16	0.3918286237
17	0.3868873236
18	0.3781938184
19	0.3707220606
20	0.3654911718
21	0.3599866535
22	0.3550617948
23	0.3512741105
24	0.3472731319
25	0.3455129104
26	0.3418531116
27	0.3382570694
28	0.3330132393
29	0.3284852833
30	0.3242003678
31	0.3211124894
32	0.3185830374
33	0.3159721557
34	0.3135332116
35	0.3113468363
36	0.309216934
37	0.3069290155
38	0.3055887479
39	0.3040818664
40	0.3033772851
41	0.3020529991
42	0.3007677907
43	0.2998904021
44	0.299007176
45	0.297549375
46	0.2961922851
47	0.2945708167
48	0.2934775934
49	0.292127222
50	0.291423679
51	0.2907500048
52	0.2898435788
53	0.2891339293
54	0.2890630025
55	0.2882669012
56	0.2876158334
57	0.2870054336
58	0.2861663216
59	0.2859925819
60	0.2853537334
61	0.2847990573
62	0.2847631065
63	0.2840003739
64	0.2834495877
65	0.2827590489
66	0.2820580709
67	0.2810367708
68	0.2804069566
69	0.2789632739
70	0.2787252275
71	0.2781002746
72	0.2772177794
73	0.2767501534
74	0.2764192187
75	0.275868556
76	0.2752281241
77	0.2750667364
78	0.2742413697
79	0.2735687559
80	0.2731606567
81	0.2721473029
82	0.2715028382
83	0.2708892442
84	0.2701660566
85	0.2698889939
86	0.2693204168
87	0.268807941
88	0.2684014635
89	0.2679118002
90	0.2672383671
91	0.2667449325
92	0.2662537534
93	0.26553311
94	0.2651592511
95	0.2645368661
96	0.2636434013
97	0.263510714
98	0.2632449276
99	0.2623138968
100	0.2617361095
101	0.2611246807
102	0.2609378857
103	0.2601492527
104	0.2597270218
105	0.2591617452
106	0.2584352572
107	0.2580845372
108	0.2576621778
109	0.2570565541
110	0.2567438569
111	0.2561152079
112	0.2557796068
113	0.2551318405
114	0.2542277946
115	0.2536663271
116	0.2530526472
117	0.2525144151
118	0.2522973489
119	0.2518537062
120	0.2509798515
121	0.2507018961
122	0.2502468428
123	0.2497982026
124	0.2493168425
125	0.248907026
126	0.2483557846
127	0.2476439195
128	0.2470852308
129	0.2466193216
130	0.246124879
131	0.2454904457
132	0.244969491
133	0.2443870357
134	0.2437156501
135	0.2430927401
136	0.2425853538
137	0.242128358
138	0.2419263764
139	0.2414376797
140	0.2410130788
141	0.2403059592
142	0.2401218248
143	0.2394635938
144	0.238592389
145	0.2381066552
146	0.2379097759
147	0.2375375023
148	0.237234639
149	0.2368891343
