iter	Passed	Remaining
0	129	19354
1	203	15074
2	289	14163
3	355	12992
4	428	12428
5	512	12297
6	612	12517
7	685	12166
8	853	13371
9	929	13017
10	1029	13007
11	1113	12810
12	1189	12535
13	1266	12307
14	1359	12235
15	1448	12133
16	1535	12012
17	1622	11899
18	1740	12001
19	1818	11822
20	1896	11647
21	1976	11498
22	2059	11369
23	2143	11254
24	2235	11177
25	2310	11018
26	2391	10895
27	2463	10732
28	2544	10617
29	2619	10479
30	2694	10344
31	2771	10218
32	2844	10086
33	2917	9952
34	2990	9826
35	3065	9706
36	3143	9599
37	3222	9498
38	3298	9388
39	3375	9282
40	3445	9159
41	3521	9056
42	3608	8979
43	3681	8868
44	3752	8756
45	3819	8635
46	3888	8521
47	3960	8415
48	4017	8280
49	4077	8154
50	4146	8049
51	4204	7923
52	4259	7796
53	4316	7673
54	4332	7483
55	4386	7362
56	4441	7247
57	4505	7146
58	4560	7034
59	4588	6882
60	4643	6775
61	4702	6675
62	4718	6516
63	4775	6416
64	4830	6317
65	4890	6223
66	4931	6109
67	4987	6014
68	5051	5930
69	5122	5854
70	5178	5762
71	5233	5669
72	5290	5579
73	5347	5492
74	5405	5405
75	5463	5320
76	5522	5235
77	5580	5150
78	5634	5063
79	5691	4980
80	5747	4896
81	5805	4814
82	5862	4732
83	5921	4652
84	5980	4573
85	6002	4466
86	6069	4395
87	6144	4329
88	6253	4285
89	6320	4213
90	6378	4135
91	6431	4054
92	6492	3979
93	6548	3901
94	6620	3833
95	6680	3757
96	6736	3680
97	6794	3605
98	6851	3529
99	6908	3454
100	6965	3379
101	7022	3304
102	7079	3230
103	7136	3156
104	7195	3083
105	7253	3010
106	7310	2937
107	7380	2870
108	7435	2796
109	7498	2726
110	7553	2654
111	7610	2581
112	7666	2510
113	7722	2438
114	7780	2368
115	7836	2296
116	7894	2226
117	7950	2156
118	8007	2085
119	8063	2015
120	8120	1946
121	8180	1877
122	8235	1807
123	8302	1740
124	8409	1681
125	8490	1617
126	8551	1548
127	8607	1479
128	8662	1410
129	8719	1341
130	8775	1272
131	8832	1204
132	8891	1136
133	8948	1068
134	9005	1000
135	9061	932
136	9118	865
137	9175	797
138	9231	730
139	9287	663
140	9345	596
141	9401	529
142	9460	463
143	9522	396
144	9581	330
145	9635	263
146	9693	197
147	9760	131
148	9815	65
149	9874	0
