iter	Passed	Remaining
0	165	165047
1	176	88024
2	187	62452
3	197	49293
4	206	41157
5	215	35746
6	226	32080
7	236	29266
8	245	27079
9	255	25304
10	264	23818
11	274	22626
12	284	21611
13	294	20739
14	304	19999
15	314	19328
16	324	18750
17	333	18187
18	341	17643
19	351	17226
20	361	16845
21	369	16432
22	380	16164
23	388	15799
24	402	15695
25	410	15387
26	420	15139
27	428	14871
28	436	14626
29	444	14365
30	453	14190
31	462	14002
32	470	13794
33	478	13592
34	487	13446
35	495	13271
36	505	13149
37	515	13057
38	523	12911
39	533	12812
40	543	12712
41	556	12697
42	566	12599
43	573	12461
44	581	12341
45	590	12244
46	598	12130
47	605	12015
48	615	11948
49	625	11887
50	634	11808
51	642	11713
52	651	11645
53	662	11609
54	670	11517
55	679	11451
56	687	11381
57	697	11327
58	705	11256
59	716	11219
60	725	11169
61	733	11099
62	744	11066
63	751	10996
64	760	10941
65	768	10879
66	778	10842
67	786	10775
68	797	10765
69	805	10707
70	814	10663
71	825	10635
72	833	10589
73	843	10551
74	852	10513
75	862	10481
76	869	10424
77	879	10398
78	886	10340
79	896	10309
80	905	10268
81	912	10219
82	921	10179
83	935	10200
84	943	10157
85	951	10109
86	961	10087
87	971	10065
88	980	10032
89	988	9993
90	998	9970
91	1008	9952
92	1016	9916
93	1026	9894
94	1034	9856
95	1045	9845
96	1054	9812
97	1063	9787
98	1074	9781
99	1082	9744
100	1091	9719
101	1109	9769
102	1125	9800
103	1136	9795
104	1156	9855
105	1169	9863
106	1189	9926
107	1204	9947
108	1216	9943
109	1228	9936
110	1240	9931
111	1251	9919
112	1261	9903
113	1273	9899
114	1283	9880
115	1293	9855
116	1303	9833
117	1312	9812
118	1322	9791
119	1331	9764
120	1344	9765
121	1354	9749
122	1365	9737
123	1376	9726
124	1388	9720
125	1400	9712
126	1412	9707
127	1422	9692
128	1433	9678
129	1445	9671
130	1455	9658
131	1466	9643
132	1480	9650
133	1490	9634
134	1501	9621
135	1512	9606
136	1521	9585
137	1533	9577
138	1542	9556
139	1552	9537
140	1562	9518
141	1574	9510
142	1583	9487
143	1591	9462
144	1600	9437
145	1608	9410
146	1618	9393
147	1627	9366
148	1635	9339
149	1644	9316
150	1652	9289
151	1660	9263
152	1669	9241
153	1678	9223
154	1687	9197
155	1695	9174
156	1704	9150
157	1713	9128
158	1722	9108
159	1731	9089
160	1740	9070
161	1749	9049
162	1761	9044
163	1771	9030
164	1780	9010
165	1790	8996
166	1801	8985
167	1811	8972
168	1821	8956
169	1830	8939
170	1841	8929
171	1852	8916
172	1864	8912
173	1877	8914
174	1889	8906
175	1904	8916
176	1916	8909
177	1925	8892
178	1935	8879
179	1945	8863
180	1957	8857
181	1964	8828
182	1974	8815
183	1983	8796
184	1992	8778
185	2001	8759
186	2010	8738
187	2018	8718
188	2027	8699
189	2039	8694
190	2047	8673
191	2056	8653
192	2065	8638
193	2076	8626
194	2086	8614
195	2097	8604
196	2107	8589
197	2116	8571
198	2125	8555
199	2135	8540
200	2146	8533
201	2157	8522
202	2169	8519
203	2180	8508
204	2193	8506
205	2203	8494
206	2212	8477
207	2222	8461
208	2231	8444
209	2239	8426
210	2247	8405
211	2255	8384
212	2263	8364
213	2272	8345
214	2280	8327
215	2288	8307
216	2296	8286
217	2304	8266
218	2316	8260
219	2325	8244
220	2334	8228
221	2342	8209
222	2351	8192
223	2409	8347
224	2435	8389
225	2461	8431
226	2470	8411
227	2493	8442
228	2510	8450
229	2518	8431
230	2533	8433
231	2541	8414
232	2550	8396
233	2562	8387
234	2573	8377
235	2587	8375
236	2599	8368
237	2615	8373
238	2627	8366
239	2638	8356
240	2655	8361
241	2668	8357
242	2678	8343
243	2688	8331
244	2697	8312
245	2705	8291
246	2714	8275
247	2723	8258
248	2734	8247
249	2756	8270
250	2768	8261
251	2778	8248
252	2787	8231
253	2798	8218
254	2811	8214
255	2826	8214
256	2841	8213
257	2850	8197
258	2858	8179
259	2870	8169
260	2877	8147
261	2885	8128
262	2893	8107
263	2901	8089
264	2909	8070
265	2919	8056
266	2929	8043
267	2938	8027
268	2948	8011
269	2958	7997
270	2966	7980
271	2977	7968
272	2986	7953
273	2996	7940
274	3006	7925
275	3018	7917
276	3027	7903
277	3037	7889
278	3048	7878
279	3058	7864
280	3069	7854
281	3079	7841
282	3092	7835
283	3106	7831
284	3118	7824
285	3127	7808
286	3136	7792
287	3149	7786
288	3157	7769
289	3167	7754
290	3178	7743
291	3186	7726
292	3194	7709
293	3202	7691
294	3208	7667
295	3218	7654
296	3229	7643
297	3237	7625
298	3245	7608
299	3254	7593
300	3262	7576
301	3270	7558
302	3279	7544
303	3288	7529
304	3297	7512
305	3306	7499
306	3316	7486
307	3325	7471
308	3334	7455
309	3343	7441
310	3353	7430
311	3363	7417
312	3372	7402
313	3381	7387
314	3389	7371
315	3397	7354
316	3406	7339
317	3415	7324
318	3423	7308
319	3433	7295
320	3441	7279
321	3451	7266
322	3460	7253
323	3468	7236
324	3476	7220
325	3485	7206
326	3497	7197
327	3504	7180
328	3513	7166
329	3527	7161
330	3547	7169
331	3582	7208
332	3598	7207
333	3613	7205
334	3626	7199
335	3640	7194
336	3651	7184
337	3663	7174
338	3675	7166
339	3688	7160
340	3699	7150
341	3713	7144
342	3725	7136
343	3740	7133
344	3758	7136
345	3778	7142
346	3792	7136
347	3805	7129
348	3818	7122
349	3830	7113
350	3850	7120
351	3870	7124
352	3885	7120
353	3908	7132
354	3923	7127
355	3937	7122
356	3950	7116
357	3963	7108
358	3975	7097
359	3988	7090
360	4001	7082
361	4014	7074
362	4025	7063
363	4038	7055
364	4050	7045
365	4067	7045
366	4085	7045
367	4102	7045
368	4120	7045
369	4137	7045
370	4149	7034
371	4161	7024
372	4172	7013
373	4185	7004
374	4199	6999
375	4214	6994
376	4227	6986
377	4239	6975
378	4254	6971
379	4269	6966
380	4280	6954
381	4295	6948
382	4308	6940
383	4322	6934
384	4337	6929
385	4351	6922
386	4362	6910
387	4375	6900
388	4386	6889
389	4398	6880
390	4407	6865
391	4417	6852
392	4427	6839
393	4436	6824
394	4446	6810
395	4456	6797
396	4464	6781
397	4476	6771
398	4486	6758
399	4495	6743
400	4505	6729
401	4514	6714
402	4522	6699
403	4532	6685
404	4540	6671
405	4550	6658
406	4560	6644
407	4571	6633
408	4582	6620
409	4592	6609
410	4602	6596
411	4617	6590
412	4631	6582
413	4645	6575
414	4661	6571
415	4673	6560
416	4688	6554
417	4700	6544
418	4713	6535
419	4723	6523
420	4736	6513
421	4747	6502
422	4758	6490
423	4771	6482
424	4785	6473
425	4795	6461
426	4806	6449
427	4815	6435
428	4826	6423
429	4835	6410
430	4845	6396
431	4855	6384
432	4865	6370
