iter	Logloss
0	0.6555603975
1	0.6187851832
2	0.5857343335
3	0.5581428842
4	0.5328723808
5	0.5107832981
6	0.4910910776
7	0.4722886398
8	0.4541613303
9	0.4408212947
10	0.4271666209
11	0.4131167547
12	0.401435304
13	0.3888755373
14	0.377913063
15	0.3691806855
16	0.3592361521
17	0.3517842699
18	0.3446189317
19	0.3365926886
20	0.3305302827
21	0.3255971902
22	0.3206077738
23	0.315897558
24	0.3120506137
25	0.3074982361
26	0.3035264207
27	0.2997597734
28	0.296672024
29	0.2932674811
30	0.2899184218
31	0.2863696037
32	0.2833607877
33	0.2805618417
34	0.2783966781
35	0.2759448811
36	0.273663067
37	0.271158162
38	0.2686405608
39	0.2674278433
40	0.2659392363
41	0.2645443843
42	0.2632930114
43	0.2621460706
44	0.2606328897
45	0.2587381085
46	0.2570472545
47	0.2559199487
48	0.2549824326
49	0.2540986314
50	0.2531389727
51	0.2523391849
52	0.2519106886
53	0.2513838361
54	0.2504710681
55	0.2483507879
56	0.2472515668
57	0.2468651524
58	0.245959684
59	0.2453776837
60	0.2441417685
61	0.2436454398
62	0.2429881264
63	0.2422077213
64	0.2416191175
65	0.2413439287
66	0.2408871757
67	0.240529138
68	0.2395381594
69	0.2388760289
70	0.2374067716
71	0.23697139
72	0.2366754179
73	0.2363026699
74	0.2359840403
75	0.2357187467
76	0.2354029021
77	0.2348758069
78	0.2344874439
79	0.2341826597
80	0.233109253
81	0.2323791952
82	0.2321507035
83	0.2310133105
84	0.2307429146
85	0.2304714513
86	0.2301788938
87	0.2297633659
88	0.2293514568
89	0.2289101729
90	0.228136552
91	0.2278077888
92	0.2275712436
93	0.2270228732
94	0.2267873625
95	0.226174071
96	0.2260100606
97	0.2258505815
98	0.2257582376
99	0.2253224738
100	0.2244885284
101	0.2237406525
102	0.2233620512
103	0.22308456
104	0.2227107016
105	0.2226483012
106	0.2223680696
107	0.2221520586
108	0.2219263616
109	0.2217522715
110	0.2215764188
111	0.2214257298
112	0.2210890278
113	0.2207763721
114	0.2205748687
115	0.2201756862
116	0.2199595711
117	0.2198783975
118	0.2197226671
119	0.2194229212
120	0.2187621789
121	0.2184176492
122	0.2182789191
123	0.2181358211
124	0.2179548047
125	0.2178020517
126	0.2176344399
127	0.2173177832
128	0.2170113454
129	0.2168449741
130	0.2167850435
131	0.2167207558
132	0.2165465746
133	0.2163898385
134	0.216263773
135	0.2161740974
136	0.2160894912
137	0.2157172436
138	0.2156456981
139	0.2155142839
140	0.2154583167
141	0.2153236693
142	0.2152226288
143	0.2150408558
144	0.2149651601
145	0.2148644871
146	0.2147407032
147	0.2145402212
148	0.2144526615
149	0.2143185947
150	0.2140025798
151	0.213452341
152	0.213325778
153	0.2131748073
154	0.2130047146
155	0.212831987
156	0.2125899785
157	0.2122354519
158	0.2121185304
159	0.2119440815
160	0.2117885785
161	0.2116953759
162	0.2115955436
163	0.211453468
164	0.2111322297
165	0.211095835
166	0.2109475079
167	0.2108774197
168	0.2108170966
169	0.2105359286
170	0.2103568177
171	0.210044439
172	0.2099399899
173	0.2098666124
174	0.2097902491
175	0.2096949144
176	0.2096619015
177	0.209574602
178	0.2094016004
179	0.2090809844
180	0.2089592598
181	0.2088794142
182	0.2088209163
183	0.2087673614
184	0.208339569
185	0.2081302028
186	0.2079518144
187	0.2077246164
188	0.2074438616
189	0.2073209228
190	0.2071756865
191	0.2070909601
192	0.207054413
193	0.2068885351
194	0.2066797207
195	0.2066166654
196	0.206534048
197	0.2063630567
198	0.2063401798
199	0.2062847696
200	0.2062294976
201	0.2061990526
202	0.2061331305
203	0.2060466966
204	0.205946227
205	0.205821598
206	0.2057207422
207	0.2056886535
208	0.2056268507
209	0.2055524737
210	0.2052917082
211	0.2051895586
212	0.2051221464
213	0.205069238
214	0.2049850294
215	0.2049141092
216	0.2045962019
217	0.2045600783
218	0.2045196554
219	0.2044620171
220	0.2042718037
221	0.2042207345
222	0.2041100077
223	0.2039426189
224	0.2037905508
225	0.2037626519
226	0.2035192151
227	0.2034516303
228	0.203374684
229	0.2029179486
230	0.2028197202
231	0.2027778043
232	0.2027494647
233	0.2026311463
234	0.2025726277
235	0.2024270262
236	0.2022695944
237	0.2022126596
238	0.2021219832
239	0.201988148
240	0.2019266991
241	0.201850659
242	0.2017357327
243	0.2016412428
244	0.2013921382
245	0.2013535138
246	0.2013030511
247	0.2011917076
248	0.2010208539
249	0.2008976972
250	0.2008050448
251	0.200757105
