iter	Passed	Remaining
0	172	172682
1	183	91531
2	195	64868
3	206	51491
4	227	45306
5	239	39638
6	251	35629
7	263	32665
8	275	30289
9	287	28416
10	296	26682
11	306	25218
12	316	24010
13	326	22975
14	336	22128
15	347	21363
16	357	20693
17	368	20094
18	379	19589
19	390	19114
20	402	18748
21	413	18377
22	424	18044
23	435	17722
24	448	17474
25	459	17197
26	473	17050
27	483	16787
28	494	16556
29	504	16323
30	515	16114
31	527	15959
32	538	15769
33	551	15666
34	562	15507
35	573	15353
36	584	15205
37	595	15065
38	606	14933
39	617	14815
40	627	14675
41	637	14548
42	648	14428
43	657	14296
44	670	14221
45	681	14124
46	691	14026
47	706	14011
48	719	13955
49	734	13951
50	748	13935
51	760	13872
52	769	13753
53	779	13657
54	790	13578
55	801	13515
56	813	13466
57	826	13428
58	841	13413
59	855	13410
60	868	13371
61	878	13295
62	890	13240
63	901	13186
64	912	13130
65	921	13039
66	930	12958
67	940	12888
68	950	12829
69	961	12769
70	970	12696
71	980	12632
72	990	12580
73	1000	12516
74	1009	12456
75	1019	12398
76	1029	12345
77	1041	12311
78	1051	12258
79	1061	12203
80	1070	12149
81	1082	12123
82	1099	12147
83	1112	12133
84	1122	12085
85	1133	12041
86	1144	12007
87	1154	11961
88	1163	11911
89	1173	11867
90	1182	11808
91	1191	11756
92	1200	11705
93	1209	11654
94	1218	11606
95	1227	11557
96	1236	11513
97	1247	11480
98	1256	11435
99	1266	11402
100	1277	11370
101	1286	11329
102	1297	11302
103	1307	11265
104	1318	11237
105	1329	11209
106	1339	11176
107	1348	11134
108	1358	11105
109	1367	11067
110	1376	11021
111	1387	10999
112	1399	10982
113	1412	10980
114	1424	10965
115	1436	10943
116	1447	10925
117	1457	10892
118	1468	10870
119	1480	10853
120	1491	10835
121	1501	10805
122	1513	10793
123	1527	10794
124	1542	10794
125	1553	10775
126	1566	10767
127	1578	10751
128	1588	10725
129	1598	10698
130	1610	10681
131	1621	10664
132	1631	10638
133	1642	10616
134	1652	10586
135	1662	10558
136	1673	10543
137	1682	10511
138	1692	10481
139	1701	10450
140	1710	10420
141	1719	10389
142	1729	10363
143	1738	10336
144	1749	10314
145	1758	10287
146	1768	10260
147	1777	10232
148	1787	10208
149	1796	10180
150	1805	10153
151	1816	10132
152	1826	10108
153	1838	10099
154	1847	10070
155	1858	10052
156	1870	10041
157	1882	10030
158	1893	10015
159	1902	9989
160	1914	9978
161	1924	9954
162	1934	9932
163	1943	9907
164	1953	9883
165	1963	9866
166	1975	9853
167	1984	9830
168	1993	9804
169	2004	9785
170	2014	9765
171	2023	9742
172	2034	9727
173	2044	9706
174	2054	9683
175	2062	9656
176	2071	9632
177	2083	9619
178	2091	9594
179	2099	9565
180	2109	9544
181	2118	9523
182	2126	9495
183	2135	9471
184	2145	9451
185	2154	9427
186	2163	9407
187	2172	9381
188	2182	9366
189	2192	9347
190	2202	9330
191	2213	9314
192	2223	9296
193	2231	9272
194	2241	9253
195	2251	9237
196	2260	9215
197	2269	9193
198	2277	9167
199	2285	9142
200	2294	9122
201	2303	9100
202	2312	9077
203	2321	9059
204	2330	9038
205	2340	9020
206	2350	9003
207	2360	8987
208	2370	8973
209	2379	8951
210	2389	8936
211	2399	8919
212	2409	8901
213	2417	8878
214	2426	8860
215	2434	8837
216	2443	8818
217	2452	8797
218	2460	8775
219	2468	8751
220	2477	8731
221	2486	8713
222	2497	8702
223	2506	8684
224	2519	8679
225	2528	8660
226	2536	8637
227	2546	8623
228	2555	8603
229	2563	8583
230	2572	8564
231	2581	8544
232	2590	8526
233	2599	8509
234	2607	8489
235	2616	8470
236	2625	8453
237	2634	8433
238	2643	8416
239	2653	8404
240	2663	8388
241	2671	8367
242	2680	8349
243	2688	8328
244	2696	8308
245	2703	8287
246	2711	8267
247	2720	8249
248	2728	8229
249	2736	8210
250	2744	8190
251	2752	8171
252	2761	8154
253	2770	8137
254	2780	8122
255	2790	8108
256	2798	8091
257	2808	8076
258	2817	8062
259	2826	8044
260	2834	8024
261	2842	8006
262	2850	7986
263	2858	7969
264	2866	7950
265	2874	7931
266	2882	7912
267	2890	7894
268	2899	7879
269	2907	7860
270	2915	7841
271	2924	7828
272	2933	7811
273	2944	7802
274	2953	7786
275	2964	7776
276	2972	7759
277	2980	7740
278	2988	7724
279	2997	7707
280	3005	7690
281	3015	7677
282	3024	7661
283	3035	7652
284	3045	7639
285	3053	7623
286	3063	7610
287	3072	7596
288	3082	7584
289	3092	7570
290	3100	7554
291	3109	7538
292	3118	7525
293	3129	7514
294	3137	7497
295	3147	7485
296	3156	7470
297	3167	7461
298	3177	7450
299	3189	7441
300	3201	7434
301	3210	7421
302	3220	7407
303	3230	7396
304	3239	7381
305	3249	7369
306	3258	7354
307	3266	7338
308	3275	7325
309	3283	7307
310	3291	7291
311	3299	7275
312	3307	7258
313	3315	7242
314	3323	7227
315	3331	7211
316	3341	7199
317	3350	7184
318	3357	7168
319	3366	7153
320	3374	7138
321	3383	7123
322	3390	7106
323	3397	7089
324	3406	7074
325	3413	7058
326	3421	7042
327	3429	7027
328	3439	7015
329	3447	7000
330	3457	6988
331	3468	6978
332	3477	6965
333	3485	6949
334	3494	6936
335	3501	6919
336	3509	6905
337	3519	6893
338	3528	6879
339	3536	6864
340	3543	6848
341	3551	6833
342	3559	6818
343	3567	6803
344	3575	6788
345	3583	6773
346	3591	6758
347	3598	6742
348	3609	6732
349	3616	6716
350	3623	6700
351	3631	6685
352	3639	6670
353	3647	6656
354	3656	6643
355	3662	6625
356	3669	6608
357	3677	6594
358	3685	6579
359	3692	6563
360	3698	6546
361	3705	6530
362	3712	6515
363	3719	6498
364	3726	6482
365	3732	6465
366	3739	6450
367	3746	6434
368	3753	6419
369	3760	6402
370	3766	6385
371	3773	6370
372	3780	6355
373	3787	6339
374	3794	6323
375	3804	6313
376	3811	6299
377	3818	6283
378	3824	6267
379	3832	6253
380	3839	6238
381	3845	6221
382	3853	6208
383	3861	6194
384	3868	6179
385	3877	6167
386	3884	6152
387	3891	6137
388	3900	6126
389	3910	6116
390	3917	6101
391	3924	6086
392	3931	6071
393	3938	6057
394	3945	6043
395	3952	6029
396	3961	6016
397	3969	6003
398	3976	5989
399	3983	5974
400	3990	5960
401	3997	5946
402	4004	5931
403	4013	5920
404	4019	5905
405	4027	5892
406	4035	5879
407	4043	5867
408	4051	5854
409	4058	5840
410	4065	5826
411	4072	5812
412	4079	5797
413	4085	5783
414	4093	5770
415	4099	5755
416	4107	5742
417	4114	5728
418	4121	5714
419	4128	5701
420	4134	5686
421	4144	5677
422	4152	5664
423	4159	5650
424	4166	5636
425	4172	5622
426	4180	5609
427	4195	5606
428	4201	5591
429	4208	5578
430	4214	5564
431	4221	5549
432	4227	5536
433	4235	5523
434	4243	5511
435	4250	5498
436	4257	5484
437	4266	5473
438	4275	5463
439	4289	5459
440	4301	5452
441	4315	5447
442	4325	5438
443	4334	5427
444	4340	5413
445	4349	5402
446	4360	5394
447	4369	5384
448	4383	5379
449	4392	5369
450	4402	5359
451	4413	5351
452	4424	5342
453	4443	5343
454	4457	5339
455	4468	5330
456	4478	5321
457	4487	5310
458	4495	5298
459	4503	5287
460	4511	5274
461	4518	5262
462	4526	5249
463	4534	5237
464	4542	5226
465	4550	5214
466	4557	5201
467	4565	5189
468	4573	5178
469	4583	5168
470	4593	5158
471	4600	5146
472	4613	5139
473	4623	5130
474	4632	5120
475	4642	5110
476	4651	5100
